cabinet_uid,municipality_id,source_cabinet_key,cabinet_name,latitude,longitude,fixture_rows,lamp_count,rated_power_w,controller_type,controller_link_status,address,source_file
SY-CAB-5b61a70385,suyeong,대남조명탑 (1),대남조명탑 (1),35.13987462,129.1057519,1,8,1600.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-4823d13b52,suyeong,망미근린공원 (17),망미근린공원 (17),35.1738505,129.1046462,17,17,586.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-c181d62281,suyeong,망미로-1 (12),망미로-1 (12),35.17078136000001,129.10458045000001,12,12,1700.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-b1ddd2bdb1,suyeong,망미로22-1 (11),망미로22-1 (11),35.1709904,129.1007541,11,11,1320.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-05c162ca05,suyeong,망미로30-1 (17),망미로30-1 (17),35.17064846,129.1004654,17,17,2550.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-1b1dd89333,suyeong,망미로30-2 (7),망미로30-2 (7),35.16975415,129.1009802,7,7,350.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-3a76040023,suyeong,망미로7-1 (18),망미로7-1 (18),35.170904230000005,129.1067311,18,18,1770.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-b67fa2d367,suyeong,망미로8-1 (17),망미로8-1 (17),35.172474295,129.1018372,18,18,1750.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-0ce29a4daf,suyeong,망미배산로-1 (18),망미배산로-1 (18),35.17473185,129.09819464999998,18,19,1900.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-5be8a18eed,suyeong,망미배산로-2 (12),망미배산로-2 (12),35.173974955,129.1052821,12,12,1450.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-bc70898630,suyeong,망미배산로24-1 (22),망미배산로24-1 (22),35.17746278,129.1051653,22,22,2200.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-4b02a9e27b,suyeong,망미배산로56-1 (22),망미배산로56-1 (22),35.174591254999996,129.10254795,22,22,3300.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-cdf9b98e1d,suyeong,망미배산로56-2 (29),망미배산로56-2 (29),35.17710571,129.1007806,29,32,3500.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-0c98179588,suyeong,망미번영로-1 (36),망미번영로-1 (36),35.16974706,129.1085167,47,47,5090.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-91a790ee47,suyeong,망미번영로-2 (34),망미번영로-2 (34),35.173008935,129.11020615,34,45,5090.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-8a139c8819,suyeong,망미번영로-3 (31),망미번영로-3 (31),35.17573522,129.1115913,31,41,4450.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
