source_record_id,source_path,target_meter_or_cabinet,join_method,join_key,time_alignment,mapping_confidence,usable_for_gold,usable_for_silver
SRC-0040,lightguard_v0_1/data/ami_data_quality.csv,B-L-12;B-L-13;B-L-14;B-L-35;B-L-9,exact_target_meter_value,meter_id,unavailable,PARTIAL,False,False
SRC-0041,lightguard_v0_1/data/ami_events.csv,B-L-13;B-L-14;B-L-35;B-L-9,exact_target_meter_value,meter_id,unavailable,PARTIAL,False,False
SRC-0042,lightguard_v0_1/data/ami_meter_profiles.csv,B-L-12;B-L-13;B-L-14;B-L-35;B-L-9,exact_target_meter_value,meter_id,unavailable,PARTIAL,False,False
SRC-0043,lightguard_v0_1/data/ami_monthly_transitions.csv,B-L-12;B-L-13;B-L-14;B-L-35;B-L-9,exact_target_meter_value,meter_id,unavailable,PARTIAL,False,False
SRC-0044,lightguard_v0_1/data/cabinets.csv,,field_name_only,cabinet_uid;source_cabinet_key;cabinet_name;fixture_rows;controller_type;controller_link_status,unavailable,UNAVAILABLE,False,False
SRC-0045,lightguard_v0_1/data/context/controlled_validation_frozen_2026.json,,field_name_only,$.cases[].cabinet_uid;$.cases[].fixture_count,available,UNAVAILABLE,False,False
SRC-0049,lightguard_v0_1/data/context/v04_validation_summary.json,,field_name_only,$.actual_ami_replay.interval_consistent_count;$.actual_ami_replay.peak_consistent_count;$.actual_ami_replay.phase_consistent_count;$.actual_ami_replay.window_count,available,UNAVAILABLE,False,False
SRC-0050,lightguard_v0_1/data/controllers.csv,,field_name_only,controller_uid;cabinet_uid;cabinet_code;cabinet_seq,available,UNAVAILABLE,False,False
SRC-0051,lightguard_v0_1/data/data_summary.json,B-L-12;B-L-13;B-L-14;B-L-35;B-L-9,exact_target_meter_value,$.ami.detected_daytime_events;$.ami.meters[];$.ami.streetlight_meter_count;$.chungju.cabinet_rows;$.gangneung.controller_rows;$.gangneung.fixture_join_rate_pct;$.gangneung.fixture_rows;$.gangneung.matched_fixture_rows;$.gangneung.matched_referenced_cabinets;$.gangneung.referenced_cabinets;$.gangneung.unmatched_referenced_cabinets;$.suyeong.all_controller_type_bidirectional;$.suyeong.cabinet_count;$.suyeong.fixture_rows;$.suyeong.unique_fixture_composite,available,PARTIAL,False,False
SRC-0052,lightguard_v0_1/data/fixtures.csv,,field_name_only,fixture_uid;cabinet_uid;source_fixture_id;source_cabinet_key;controller_type,unavailable,UNAVAILABLE,False,False
SRC-0053,lightguard_v0_1/data/municipalities.csv,,field_name_only,fixture_rows;cabinet_count,available,UNAVAILABLE,False,False
SRC-0054,lightguard_v0_1/data/simulation_scenarios_v02.json,,field_name_only,$.cabinet_uid;$.injection_meter_id,unavailable,UNAVAILABLE,False,False
SRC-0055,lightguard_v0_1/data/simulation_validation_results_v02.csv,,field_name_only,cabinet_uid,available,UNAVAILABLE,False,False
SRC-0057,lightguard_v0_1/data/suyeong_v02_objects.json,,field_name_only,$.ami.ami_state;$.ami.has_real_ami;$.ami.mapping_visibility.created_by;$.ami.mapping_visibility.reason;$.ami.signal_source;$.ami.virtual_link_mode;$.asset_info.cabinet_name;$.asset_info.cabinet_uid;$.asset_info.fixture_count;$.asset_info.fixtures[].lamp_count;$.asset_info.fixtures[].lamp_watt;$.asset_info.fixtures[].latitude;$.asset_info.fixtures[].longitude;$.asset_info.fixtures[].rated_power_w;$.asset_info.fixtures[].road_name;$.asset_info.fixtures[].source_fixture_id;$.asset_info.metadata.controller_link_status;$.asset_info.metadata.controller_type;$.asset_info.source_cabinet_key;$.cabinet_uid;$.detected_signals[].meter_id;$.expected_load.fixture_rows,available,UNAVAILABLE,False,False
SRC-0059,lightguard_v0_1/data/validation/v04_calibration_set.json,,field_name_only,$.cases[].cabinet_uid,available,UNAVAILABLE,False,False
SRC-0060,lightguard_v0_1/data/validation/v04_confirmatory_holdout.json,,field_name_only,$.cases[].cabinet_uid,available,UNAVAILABLE,False,False
SRC-0061,lightguard_v0_1/data/validation/v05/causal_walkforward_results.csv,B-L-12;B-L-13;B-L-14;B-L-35;B-L-9,exact_target_meter_value,meter_id,available,PARTIAL,False,False
SRC-0062,lightguard_v0_1/data/validation/v05/causal_walkforward_summary.json,,field_name_only,$.14d.candidate_density_per_meter_day;$.14d.canonical_event_map.AMI-EVT-237615b73a;$.14d.canonical_event_map.AMI-EVT-4ada00d8f3;$.14d.canonical_event_map.AMI-EVT-d406cc5296;$.14d.canonical_event_map.AMI-EVT-d706634ed1;$.14d.canonical_event_map.AMI-EVT-f394b2a542;$.14d.canonical_event_map.AMI-EVT-fda2dd8737;$.14d.evaluable_meter_days;$.14d.warmup_meter_days;$.30d.candidate_density_per_meter_day;$.30d.canonical_event_map.AMI-EVT-237615b73a;$.30d.canonical_event_map.AMI-EVT-4ada00d8f3;$.30d.canonical_event_map.AMI-EVT-d406cc5296;$.30d.canonical_event_map.AMI-EVT-d706634ed1;$.30d.canonical_event_map.AMI-EVT-f394b2a542;$.30d.canonical_event_map.AMI-EVT-fda2dd8737;$.30d.evaluable_meter_days;$.30d.warmup_meter_days;$.7d.candidate_density_per_meter_day;$.7d.canonical_event_map.AMI-EVT-237615b73a;$.7d.canonical_event_map.AMI-EVT-4ada00d8f3;$.7d.canonical_event_map.AMI-EVT-d406cc5296;$.7d.canonical_event_map.AMI-EVT-d706634ed1;$.7d.canonical_event_map.AMI-EVT-f394b2a542;$.7d.canonical_event_map.AMI-EVT-fda2dd8737;$.7d.evaluable_meter_days;$.7d.warmup_meter_days;$.expanding.candidate_density_per_meter_day;$.expanding.canonical_event_map.AMI-EVT-237615b73a;$.expanding.canonical_event_map.AMI-EVT-4ada00d8f3;$.expanding.canonical_event_map.AMI-EVT-d406cc5296;$.expanding.canonical_event_map.AMI-EVT-d706634ed1;$.expanding.canonical_event_map.AMI-EVT-f394b2a542;$.expanding.canonical_event_map.AMI-EVT-fda2dd8737;$.expanding.evaluable_meter_days;$.expanding.warmup_meter_days;$.full_sample.canonical_event_map.AMI-EVT-237615b73a;$.full_sample.canonical_event_map.AMI-EVT-4ada00d8f3;$.full_sample.canonical_event_map.AMI-EVT-d406cc5296;$.full_sample.canonical_event_map.AMI-EVT-d706634ed1;$.full_sample.canonical_event_map.AMI-EVT-f394b2a542;$.full_sample.canonical_event_map.AMI-EVT-fda2dd8737,available,UNAVAILABLE,False,False
SRC-0063,lightguard_v0_1/data/validation/v05/sensitivity_grid.json,,field_name_only,$.rows[].parameter;$.summary.most_sensitive.parameter,available,UNAVAILABLE,False,False
SRC-0065,lightguard_v0_1/data/validation/v05/temporal_meter_profiles.json,B-L-12;B-L-13;B-L-14;B-L-35;B-L-9,exact_target_meter_value,$.B-L-12.monthly[].meter_id;$.B-L-13.monthly[].meter_id;$.B-L-14.monthly[].meter_id;$.B-L-35.monthly[].meter_id;$.B-L-9.monthly[].meter_id,available,PARTIAL,False,False
SRC-0066,lightguard_v0_1/data/validation/v05/v05_validation_summary.json,,field_name_only,$.actual_ami_peak.adjudicated_metric_consistent;$.actual_ami_peak.adjudicated_metric_definition;$.actual_ami_peak.adjudicated_metric_total;$.actual_ami_peak.legacy_metric_consistent;$.actual_ami_peak.legacy_metric_definition;$.actual_ami_peak.legacy_metric_total;$.actual_ami_peak.primary_cause;$.causal_replay.meter_count;$.sensitivity.most_sensitive_parameter,available,UNAVAILABLE,False,False
SRC-0068,lightguard_v0_1/data/validation/v06/field_outcome_schema.json,,field_name_only,$.properties.cabinet_uid.minLength;$.properties.cabinet_uid.type,available,UNAVAILABLE,False,False
SRC-0069,lightguard_v0_1/data/validation/v06/stationary_bootstrap.json,,field_name_only,$.evaluable_meter_days;$.meter_count,available,UNAVAILABLE,False,False
SRC-0070,lightguard_v0_1/data/validation/v06/v06_evidence_summary.json,,field_name_only,$.candidate_density.evaluable_meter_days;$.candidate_density.meter_count,available,UNAVAILABLE,False,False
SRC-0071,lightguard_v0_1/data/validation/v07/regional_seasonal_cases.json,,field_name_only,$.cases[].cabinet_uid,available,UNAVAILABLE,False,False
SRC-0073,lightguard_v0_1/data/validation/v07/regional_seasonal_summary.json,,field_name_only,$.external_ami_validation.reason;$.external_ami_validation.status,unavailable,UNAVAILABLE,False,False
